x,y,impact_total,distance_to_nearest_blast,impact_B1,impact_B2
14.0,33.0,31.233582460973278,62.36184731067546,31.214573795450168,0.0190086655231087
14.0,34.0,31.593394054089647,62.0966987850401,31.57329560046929,0.020098453620355925
14.0,35.0,31.93526710649309,61.84658438426491,31.914031097473405,0.021236009019683068
14.0,36.0,32.25853428085779,61.61168720299745,32.23611186513634,0.02242241572145295
14.0,37.0,32.56256016070869,61.39218191268331,32.53890144631312,0.02365871439557347
14.0,38.0,32.846743338551136,61.18823416311342,32.82179744155082,0.024945897000317213
14.0,39.0,33.11051840583855,61.0,33.08423350456279,0.026284901275759626
14.0,40.0,33.35335783555028,60.8276253029822,33.325681230421864,0.0276766051284114
14.0,41.0,33.574773748591426,60.67124524847005,33.545651927666356,0.029121820925072196
14.0,42.0,33.77431955571898,60.530983801686226,33.743698266003626,0.03062128971535585
14.0,43.0,33.95159146724149,60.40695324215582,33.919415791837764,0.03217567540373017
14.0,44.0,34.10622986332882,60.29925372672534,34.072444304435564,0.0337855588932589
14.0,45.0,34.23792051840257,60.207972893961475,34.20246908617804,0.03545143222452614
14.0,46.0,34.34639567375092,60.13318551349163,34.30922198101647,0.037173692734446026
14.0,47.0,34.431434953221164,60.07495318350236,34.39248231596036,0.038952637260806
14.0,48.0,34.49286611758485,60.03332407921454,34.452077661165404,0.040788456419449205
14.0,49.0,34.53056565393902,60.00833275470999,34.487884424957066,0.042681228981957656
14.0,50.0,34.54445919729817,60.0,34.49982828091562,0.0446309163825419
14.0,51.0,34.53452178234063,60.00833275470999,34.487884424957066,0.04663735738356358
14.0,52.0,34.50077792409511,60.03332407921454,34.452077661165404,0.04870026292971011
14.0,53.0,34.443301527181646,60.07495318350236,34.39248231596036,0.050819211221285195
14.0,56.0,34.12995031162412,60.29925372672534,34.072444304435564,0.0575060071885594
14.0,57.0,33.979257887837676,60.40695324215582,33.919415791837764,0.059842095999908904
14.0,58.0,33.8059282401801,60.530983801686226,33.743698266003626,0.06222997417647412
14.0,95.0,17.274617878782287,75.0,17.111950196648834,0.16266768213345395
15.0,9.0,20.09192358798287,71.84705978674423,20.08745761210044,0.004465975882428391
15.0,10.0,20.663628703119844,71.28113354878694,20.658827549751155,0.004801153368689687
15.0,20.0,26.33468606301682,66.18912297349165,26.325155996074106,0.009530066942715677
15.0,21.0,26.87866084278178,65.7419196555744,26.868493281006078,0.01016756177570365
15.0,22.0,27.41490049688513,65.30696746902278,27.404060305987635,0.010840190897497
15.0,23.0,27.94250258751634,64.88451279003334,27.930953271021323,0.01154931649501765
15.0,24.0,28.460565184445194,64.47480127925948,28.44826887235334,0.01229631209185712
15.0,25.0,28.96818939626416,64.07807737440318,28.9551068369003,0.013082559363864061
15.0,28.0,30.419542500365754,62.96824596572466,30.403851823582393,0.015690676783361397
15.0,29.0,30.8765754146201,62.625873247404705,30.859927628749727,0.016647785870371436
15.0,30.0,31.318811679174065,62.297672508690084,31.30116062986827,0.017651049305794763
15.0,31.0,31.745425141321736,61.98386886924694,31.72672332371927,0.018701817602466194
15.0,32.0,32.15561085792698,61.68468205316454,32.135809437356336,0.019801420570641916
15.0,33.0,32.54858762639604,61.40032573203501,32.52763646410045,0.020951162295587106
15.0,34.0,32.92360046623955,61.1310068623117,32.90144815032981,0.02215231590973584
15.0,35.0,33.27992304020832,60.876925020897694,33.25651692203863,0.023406118169686737
15.0,36.0,33.61686000414446,60.63827174318213,33.592146240294596,0.024713763849870604
15.0,37.0,33.933749274908465,60.41522986797286,33.90767287494214,0.026076399966321162
15.0,38.0,34.22996420602363,60.207972893961475,34.20246908617804,0.027495119845591897
15.0,39.0,34.504915661022274,60.01666435249463,34.475944703966796,0.028970957055477843
15.0,40.0,34.75805397487775,59.841457201508724,34.727549095661935,0.030504879215813255
15.0,41.0,34.98887079436618,59.682493245507096,34.95677301265697,0.03209778170921443
15.0,42.0,35.19690078871382,59.53990258641679,35.16315030740061,0.03375048131320334
15.0,43.0,35.38172322245297,59.413803110051795,35.34625951267628,0.03546370977668899
15.0,44.0,35.54296338302271,59.30430001273095,35.505725275657454,0.03723810736525713
15.0,46.0,35.79343564404185,59.135437767890075,35.75246316921668,0.04097247482517101
15.0,47.0,35.88215911763234,59.07622195096772,35.83922590782336,0.042933209808976226
15.0,48.0,35.94628480395287,59.033888572581766,35.901328172505416,0.044956631447455965
15.0,49.0,35.98568399918075,59.00847396772772,35.93864117261889,0.0470428265618652
15.0,50.0,36.00027920779707,59.0,35.95108745515169,0.049191752645374044
15.0,51.0,35.990044404602344,59.00847396772772,35.93864117261889,0.05140323198345906
15.0,52.0,35.95500511848764,59.033888572581766,35.901328172505416,0.0536769459822267
15.0,53.0,35.8952383375616,59.07622195096772,35.83922590782336,0.05601242973824201
15.0,54.0,35.81087223610045,59.135437767890075,35.75246316921668,0.058409066883767756
15.0,56.0,35.56910782548001,59.30430001273095,35.505725275657454,0.0633825498225541
15.0,57.0,35.41221687637854,59.413803110051795,35.34625951267628,0.0659573637022548
15.0,58.0,35.2317395667064,59.53990258641679,35.16315030740061,0.06858925930578841
15.0,59.0,35.028049810294675,59.682493245507096,34.95677301265697,0.07127679763771101
15.0,60.0,34.801567460648336,59.841457201508724,34.727549095661935,0.07401836498639777
16.0,19.0,26.85042902033999,65.76473218982953,26.840597287720545,0.009831732619446417
16.0,20.0,27.42404756297312,65.29931086925804,27.413550889548535,0.010496673424583792
16.0,21.0,27.990550896427862,64.8459713474939,27.979352068956306,0.01119882747155502
16.0,22.0,28.549001411904268,64.40496875241847,28.537061732530017,0.011939679374250835
16.0,23.0,29.098459442784883,63.97655820689325,29.085738713302703,0.012720729482180722
16.0,24.0,29.637985851699252,63.56099432828282,29.624442361067885,0.013543490631368608
16.0,25.0,30.166644666227374,63.15853069855251,30.15223518159042,0.014409484636954736
16.0,26.0,30.683505753117363,62.76941930590086,30.668185514591716,0.015320238525647293
16.0,27.0,31.187647520512698,62.39390995922599,31.171370240005352,0.016277280507345917
16.0,28.0,31.678159637357037,62.03224967708329,31.660877501670516,0.017282135686521326
16.0,30.0,32.61472624678428,61.35144660071187,32.5952849037929,0.01944134299138071
16.0,31.0,33.05904087283429,61.032778078668514,33.038442185228085,0.02059868760620492
16.0,32.0,33.48625149398145,60.728905802755904,33.46444167393273,0.021809820048717916
16.0,33.0,33.89554468771812,60.440052945046304,33.87246851104443,0.023076176673693386
16.0,34.0,34.28613433591568,60.166435825965294,34.26173517617207,0.02439915974361971
16.0,35.0,34.65726414573454,59.90826320300064,34.63148401427888,0.025780131455656753
16.0,36.0,35.008210096291386,59.665735560705194,34.980989688524716,0.02722040776666932
16.0,37.0,35.338282800004976,59.43904440685432,35.30956154797384,0.028721252031132575
16.0,38.0,35.64682976783482,59.22837157984339,35.61654589936634,0.03028386846847586
16.0,39.0,35.93323756798363,59.033888572581766,35.901328172505416,0.03190939547821655
16.0,40.0,36.19693386805158,58.855755878248644,36.16333496922858,0.03359889882300473
16.0,41.0,36.43738935110851,58.69412236331676,36.40203598640704,0.035353364701464995
16.0,42.0,36.65411949668432,58.54912467321779,36.61694580394987,0.037173692734446026
16.0,43.0,36.846686218267436,58.42088667591412,36.807625529377454,0.03906068888998256
16.0,44.0,37.014699349540884,58.309518948453004,36.97368429116698,0.04101505837390367
16.0,45.0,37.157817972273456,58.215118311311535,37.114780573758864,0.043037398514592845
16.0,46.0,37.2757515795141,58.137767414994535,37.230623387842215,0.04512819167188844
16.0,47.0,37.36826106850846,58.077534382926416,37.32097327030696,0.04728779820150403
16.0,48.0,37.43515955856013,58.034472514187634,37.3856431090525,0.049516449507630546
16.0,49.0,37.47631302989469,58.008620049092706,37.42449878867714,0.05181424121754658
16.0,50.0,37.49164078044206,58.0,37.43745965392898,0.054181126513079936
16.0,51.0,37.48111569833179,58.008620049092706,37.42449878867714,0.056616909654649175
