node_id,mae_baseline,mae_csp,mae_delta,mae_improve_rate,mse_baseline,mse_csp,mse_delta,mse_improve_rate
525,0.69035965,0.68423647,0.006123185,0.008869559,0.7701155,0.7627296,0.0073859096,0.009590652
802,0.30337483,0.29726428,0.006110549,0.02014191,0.21224603,0.20502746,0.0072185695,0.034010388
431,0.79238313,0.78629696,0.0060861707,0.007680843,1.0006763,0.9895263,0.0111500025,0.011142467
402,0.85319144,0.84713036,0.006061077,0.007104006,1.1237007,1.1092706,0.014430165,0.012841645
877,0.2826713,0.27661997,0.0060513318,0.021407662,0.20958565,0.20169434,0.007891312,0.037651967
86,0.7739575,0.7679082,0.0060492754,0.007816031,0.9366345,0.9235148,0.013119698,0.014007276
163,0.70286065,0.69701385,0.0058467984,0.008318574,0.8168168,0.80537647,0.011440337,0.014006001
270,0.80762655,0.80181,0.0058165193,0.007201991,1.0258788,1.0125715,0.013307333,0.012971642
82,0.33226916,0.3264527,0.0058164597,0.017505264,0.25869364,0.24906631,0.009627327,0.03721517
595,0.2872038,0.2814292,0.0057745874,0.020106237,0.27565467,0.26727843,0.008376241,0.030386718
211,0.35971326,0.35398707,0.0057261884,0.015918758,0.25713643,0.24917196,0.007964477,0.03097374
320,0.7807279,0.7750019,0.0057260394,0.0073342314,0.9603067,0.95043033,0.00987637,0.0102846
474,0.30089608,0.29518956,0.005706519,0.018965082,0.218008,0.21142754,0.006580457,0.030184476
152,0.7781972,0.7724956,0.0057016015,0.0073266793,0.94683236,0.9319114,0.01492095,0.015758809
697,0.85141796,0.84572077,0.0056971908,0.006691415,1.1508079,1.1416209,0.009186983,0.007983073
272,0.8249793,0.8193173,0.005662024,0.006863232,1.0777084,1.0666907,0.01101768,0.010223248
316,0.28065702,0.27503103,0.005625993,0.020045795,0.24006826,0.23233446,0.007733792,0.032214973
496,0.28234962,0.27680266,0.0055469573,0.019645706,0.23996827,0.23181061,0.008157656,0.033994727
733,0.2784944,0.2729506,0.005543798,0.01990632,0.21285564,0.20582128,0.0070343614,0.033047568
547,0.3216753,0.3161741,0.0055012107,0.01710175,0.23199764,0.22480431,0.007193327,0.031006034
193,0.31867415,0.31324756,0.0054265857,0.017028635,0.25089076,0.24189857,0.008992195,0.035841078
819,0.39514977,0.38979566,0.0053541064,0.013549563,0.29983926,0.29176423,0.008075029,0.026931193
692,0.2635569,0.2582068,0.005350083,0.020299537,0.2090566,0.20048633,0.008570269,0.04099497
224,0.6942936,0.6889562,0.005337417,0.0076875505,0.80028856,0.79184633,0.008442223,0.010548973
837,0.42989996,0.42460608,0.005293876,0.012314204,0.34343427,0.3322965,0.0111377835,0.03243061
869,0.852616,0.8473324,0.005283594,0.006196921,1.1451695,1.130977,0.014192462,0.012393328
806,0.82242745,0.8171827,0.005244732,0.0063771363,1.0617417,1.0539544,0.007787347,0.007334502
516,0.34261957,0.33750042,0.005119145,0.014941192,0.27773854,0.26996785,0.0077706873,0.027978426
430,0.8598997,0.854793,0.0051066875,0.0059387013,1.1622376,1.14988,0.012357593,0.010632587
702,0.718906,0.71380025,0.005105734,0.0071020885,0.83209,0.8269585,0.0051315427,0.0061670523
138,0.2743952,0.26946265,0.0049325526,0.017976088,0.22719844,0.21778174,0.009416699,0.041447025
487,0.850724,0.8458163,0.0049076676,0.005768813,1.1381457,1.1259027,0.012243032,0.010756999
148,0.842009,0.8371626,0.004846394,0.005755751,1.1110839,1.0993248,0.011759043,0.010583398
706,0.530515,0.52568406,0.0048309565,0.009106164,0.4780641,0.46957862,0.008485466,0.017749641
401,0.8343226,0.8295155,0.004807055,0.0057616266,1.1083248,1.0950265,0.013298273,0.011998534
174,0.37280178,0.3680249,0.004776895,0.012813498,0.29874402,0.29055113,0.008192897,0.027424471
110,0.7916186,0.7868493,0.0047692657,0.0060247015,1.0030836,0.99160355,0.011480033,0.011444743
117,0.79193157,0.7871991,0.0047324896,0.005975882,0.99436224,0.98187053,0.012491703,0.012562527
277,0.82429796,0.81960326,0.0046947002,0.0056953924,1.0881685,1.0763795,0.011788964,0.010833767
970,0.8411787,0.8364841,0.0046946406,0.0055810264,1.1303209,1.1171557,0.0131652355,0.011647344
777,0.59071183,0.5860309,0.0046809316,0.007924221,0.5649155,0.5574191,0.007496357,0.013269873
156,0.8170645,0.81239307,0.0046714544,0.0057173627,1.0509518,1.0445005,0.0064513683,0.0061385958
565,0.2747124,0.27004933,0.00466308,0.016974406,0.20177594,0.19556405,0.006211892,0.030786088
406,0.81433034,0.80969983,0.004630506,0.0056862747,1.0467912,1.0396696,0.007121563,0.006803232
274,0.2669015,0.2622899,0.0046115816,0.017278215,0.22549646,0.21781994,0.007676512,0.034042716
889,0.7777133,0.77310294,0.0046103597,0.005928097,0.9665517,0.95935947,0.007192254,0.0074411477
687,0.49181882,0.48721159,0.0046072304,0.009367739,0.42600122,0.4177674,0.008233815,0.019328149
357,0.28400582,0.27943003,0.004575789,0.016111603,0.2070864,0.20040688,0.00667952,0.032254748
616,0.818969,0.814419,0.00455004,0.005555814,1.0589217,1.0494975,0.00942421,0.008899817
433,0.8091374,0.8045931,0.0045443177,0.0056162495,1.0214921,1.0099132,0.0115789175,0.0113352975
265,0.8040676,0.7995351,0.004532516,0.0056369836,1.0487872,1.037164,0.011623263,0.011082575
218,0.4588617,0.45433313,0.004528582,0.009869166,0.38873404,0.38018045,0.008553594,0.022003718
780,0.86304605,0.85861844,0.004427612,0.005130215,1.1478637,1.1395887,0.008275032,0.007209072
403,0.8032591,0.79883254,0.004426539,0.0055107237,1.0185566,1.0084326,0.010123968,0.009939524
213,0.8235495,0.81912726,0.0044222474,0.005369741,1.0738488,1.0613426,0.012506247,0.011646189
569,0.30194038,0.2975693,0.004371077,0.014476622,0.22848587,0.22397327,0.004512593,0.019749988
157,0.85827434,0.85393304,0.0043413043,0.0050581777,1.1962384,1.1840506,0.012187839,0.01018847
632,0.30525503,0.3009191,0.00433594,0.01420432,0.26787487,0.25929376,0.008581102,0.032033995
847,0.7808731,0.7765411,0.004332006,0.0055476436,0.9993969,0.9897535,0.0096434355,0.009649254
736,0.28807244,0.28380424,0.004268199,0.01481641,0.22288917,0.21650575,0.006383419,0.028639432
182,0.804881,0.80062085,0.004260123,0.005292861,1.0441087,1.0343642,0.009744525,0.009332864
143,0.4117931,0.40755442,0.004238695,0.010293263,0.31709644,0.3099209,0.007175535,0.022628872
391,0.8071841,0.80295235,0.004231751,0.0052426094,1.0165782,1.009647,0.0069311857,0.006818153
602,0.8467122,0.84248555,0.004226625,0.0049918084,1.1676545,1.1587373,0.0089172125,0.0076368586
934,0.80778736,0.803564,0.0042233467,0.0052282903,1.0642635,1.0598712,0.0043922663,0.004127048
166,0.81437814,0.8101561,0.0042220354,0.0051843673,1.0871722,1.0758933,0.011278868,0.0103745
280,0.7947746,0.7905721,0.004202485,0.005287644,1.0510727,1.038336,0.012736678,0.01211779
399,0.8182694,0.8140848,0.004184544,0.0051138955,1.0554304,1.0496271,0.0058033466,0.005498559
941,0.29567003,0.29149786,0.004172176,0.01411092,0.22383845,0.21343088,0.010407567,0.046495885
228,0.7939814,0.7898166,0.0041647553,0.0052454066,1.0131304,1.000373,0.012757421,0.012592081
844,0.84747577,0.8433398,0.0041359663,0.0048803356,1.1405857,1.1293503,0.011235356,0.009850515
162,0.426623,0.42249,0.004132986,0.009687678,0.32275066,0.315835,0.0069156587,0.02142725
952,0.83111525,0.8269947,0.0041205287,0.0049578305,1.0974984,1.0893849,0.008113503,0.0073927245
718,0.79435796,0.7902398,0.0041181445,0.005184243,0.9947437,0.9839129,0.01083082,0.01088805
594,0.8224655,0.81837094,0.004094541,0.0049783746,1.0729078,1.0669291,0.0059787035,0.00557243
468,0.8268174,0.8227276,0.0040897727,0.0049464037,1.0591798,1.0488089,0.010370851,0.0097913975
488,0.7943237,0.79025185,0.0040718317,0.005126162,1.0082695,1.0032802,0.0049893856,0.004948464
419,0.7915993,0.78753215,0.004067123,0.0051378557,0.9826871,0.9761975,0.0064896345,0.0066039683
996,0.85236925,0.84830487,0.004064381,0.004768334,1.1417161,1.1348104,0.006905675,0.0060485043
911,0.80368316,0.79964805,0.0040351152,0.0050207786,1.0396649,1.030004,0.00966084,0.009292264
789,0.824954,0.82095444,0.0039995313,0.0048481873,1.0636157,1.0549952,0.008620501,0.008104902
747,0.6804336,0.6764524,0.003981173,0.005850936,0.7469411,0.7408895,0.0060516,0.008101843
159,0.7954043,0.7914247,0.0039796233,0.005003271,0.9972952,0.9836437,0.01365149,0.013688515
36,0.7258383,0.721865,0.003973305,0.0054740915,0.8159114,0.81188226,0.004029155,0.0049382257
471,0.79055804,0.7865892,0.003968835,0.0050202953,0.98506445,0.97368574,0.0113787055,0.011551229
349,0.85035896,0.8464085,0.0039504766,0.0046456577,1.1054653,1.0963161,0.009149194,0.008276328
609,0.35672626,0.35279042,0.0039358437,0.011033232,0.2667738,0.25876078,0.00801301,0.030036721
269,0.84007454,0.8361503,0.0039242506,0.0046713124,1.131531,1.1291106,0.0024204254,0.0021390712
627,0.7037253,0.6998146,0.0039106607,0.0055570845,0.7898134,0.78162915,0.008184254,0.010362263
240,0.8002224,0.7963611,0.003861308,0.0048252936,1.0268544,1.0190426,0.0078117847,0.0076074903
195,0.841971,0.8381322,0.0038387775,0.004559275,1.124171,1.1127605,0.011410475,0.010150123
248,0.79206157,0.7882496,0.0038119555,0.004812701,0.9989508,0.9917208,0.007229984,0.007237578
39,0.36327192,0.35948092,0.0037910044,0.010435721,0.27548736,0.26831722,0.0071701407,0.026027113
20,0.5508425,0.54707575,0.0037667751,0.0068382067,0.53377014,0.52574944,0.008020699,0.015026503
141,0.7931548,0.7893943,0.003760457,0.004741139,1.0030584,0.99991095,0.0031474829,0.0031378858
854,0.8129182,0.8091859,0.003732264,0.0045911926,1.0530818,1.0421894,0.010892391,0.010343349
455,0.83199483,0.82827365,0.0037211776,0.004472597,1.0668633,1.0587772,0.008086085,0.007579308
390,0.7881121,0.7844043,0.0037078261,0.004704694,0.99886084,0.99143153,0.0074293017,0.0074377744
149,0.7862547,0.7825472,0.003707528,0.0047154287,0.9854212,0.98052394,0.004897237,0.004969689
894,0.3047767,0.3010697,0.0037069917,0.012162976,0.23421322,0.22646524,0.007747978,0.033080876
842,0.84453565,0.8408527,0.003682971,0.004360942,1.0853895,1.0759631,0.009426355,0.008684767
694,0.8222245,0.8185579,0.0036665797,0.0044593415,1.0961356,1.0846406,0.011494994,0.010486836
768,0.3826193,0.37895992,0.0036593676,0.009563991,0.2969589,0.28975502,0.007203877,0.024258835
446,0.81455386,0.81091315,0.0036407113,0.004469577,1.0198882,1.0124298,0.007458329,0.007312889
667,0.83592623,0.8322989,0.0036273599,0.00433933,1.1374884,1.1281687,0.009319663,0.008193194
434,0.8191396,0.8155152,0.0036243796,0.0044246176,1.0826857,1.0717508,0.010934949,0.010099837
795,0.81811833,0.81449884,0.003619492,0.004424167,1.0195369,1.00808,0.011456847,0.011237306
204,0.2773322,0.27373895,0.0035932362,0.012956434,0.20929563,0.20337766,0.0059179664,0.028275633
236,0.8244492,0.8208636,0.003585577,0.0043490576,1.060792,1.05133,0.009461999,0.008919749
984,0.83597535,0.83239293,0.003582418,0.0042853155,1.0813394,1.070841,0.0104984045,0.009708704
700,0.7873641,0.78378177,0.0035823584,0.0045498116,0.9749533,0.9656951,0.009258211,0.009496056
353,0.7850276,0.7814755,0.0035521388,0.004524858,0.9771514,0.96763647,0.009514928,0.009737414
84,0.8181995,0.81464905,0.0035504699,0.0043393695,1.0466394,1.0381585,0.0084809065,0.008102988
429,0.8293439,0.8258144,0.003529489,0.0042557605,1.0796515,1.0664607,0.013190746,0.012217597
962,0.8376645,0.83414984,0.0035146475,0.00419577,1.1119782,1.1041982,0.007779956,0.0069965003
534,0.81164277,0.8081308,0.0035119653,0.004326984,1.0306336,1.0269817,0.0036518574,0.0035433131
785,0.7982123,0.7947078,0.0035045147,0.0043904544,0.9966753,0.9867367,0.009938598,0.009971751
219,0.8297977,0.8263079,0.0034897923,0.0042055943,1.0933074,1.0814724,0.011834979,0.010824933
262,0.79478383,0.7913006,0.0034832358,0.0043826206,1.0182034,1.0102988,0.00790453,0.007763213
897,0.77471054,0.7712378,0.0034727454,0.004482636,0.9524233,0.9440366,0.008386672,0.008805614
513,0.81615627,0.8126957,0.003460586,0.004240102,1.058976,1.0550488,0.003927231,0.0037085172
958,0.8190155,0.81558496,0.0034305453,0.004188621,1.0665578,1.0616112,0.0049465895,0.004637901
81,0.82641506,0.8229922,0.0034228563,0.0041418127,1.0527492,1.0444041,0.008345008,0.007926872
719,0.81688094,0.8134593,0.0034216642,0.004188694,1.0687326,1.0659902,0.0027424097,0.002566039
77,0.82121545,0.81780744,0.0034080148,0.004149964,1.0813613,1.0666704,0.014690876,0.013585539
930,0.7997447,0.7963387,0.0034060478,0.0042589186,1.0394398,1.034816,0.0046237707,0.0044483296
268,0.29978338,0.29638407,0.0033993125,0.0113392295,0.24643828,0.23777312,0.008665159,0.03516158
677,0.2875175,0.28412512,0.0033923686,0.011798825,0.22085512,0.21453029,0.0063248277,0.028637905
637,0.81309944,0.8097095,0.0033899546,0.004169176,1.0273199,1.0185941,0.008725762,0.008493715
33,0.79980457,0.79645395,0.0033506155,0.004189293,1.0271556,1.0180485,0.009107113,0.008866342
661,0.8110386,0.80768967,0.0033489466,0.004129207,1.0252302,1.0190504,0.0061798096,0.006027729
253,0.806661,0.8033363,0.0033246875,0.0041215424,1.0052428,0.99705493,0.00818789,0.008145186
791,0.75676715,0.753447,0.0033201575,0.0043872907,0.92802966,0.92083895,0.0071907043,0.007748356
728,0.7972269,0.7939414,0.0032855272,0.0041211946,0.99643844,0.988852,0.0075864196,0.0076135355
134,0.81437397,0.8110897,0.0032842755,0.004032884,1.0372472,1.031361,0.005886197,0.005674826
140,0.81844884,0.81518453,0.003264308,0.003988408,1.0575628,1.0519501,0.005612731,0.0053072316
139,0.8158187,0.8125657,0.0032530427,0.0039874576,1.0497495,1.0433607,0.0063887835,0.0060860077
651,0.3790254,0.3757763,0.0032491088,0.008572272,0.2859374,0.27913913,0.0067982674,0.023775369
112,0.7894425,0.78619754,0.0032449365,0.0041104155,0.9884564,0.9835758,0.004880607,0.0049376045
